Project ID,Milestone,Schedule Category,Dates
17WPD007,Project Completion,Capex,15/07/2027
17WPD013,Business Need,Baseline,17/09/2018
17WPD013,Business Need,Capex,17/09/2018
17WPD013,Business Need,Actual,17/09/2018
17WPD013,Business Case Approval,Baseline,17/10/2018
17WPD013,Business Case Approval,Capex,17/10/2018
17WPD013,Business Case Approval,Actual,17/10/2018
17WPD013,CR approval (Consultant),Baseline,23/04/2018
17WPD013,CR approval (Consultant),Capex,23/04/2018
17WPD013,CR approval (Consultant),Actual,23/04/2018
17WPD013,Letter of Award (Consultant),Baseline,17/09/2018
17WPD013,Letter of Award (Consultant),Capex,17/09/2018
17WPD013,Letter of Award (Consultant),Actual,17/09/2018
17WPD013,Detail Design Approval,Baseline,30/09/2020
17WPD013,Detail Design Approval,Capex,30/09/2020
17WPD013,Detail Design Approval,Actual,30/09/2020
21WAPDD008 (1),Business Need,Baseline,06/11/2021
21WAPDD008 (1),Business Need,Capex,06/11/2021
21WAPDD008 (1),Business Need,Actual,06/11/2021
21WAPDD008 (1),Business Case Approval,Baseline,06/01/2022
21WAPDD008 (1),Business Case Approval,Capex,06/01/2022
21WAPDD008 (1),Business Case Approval,Actual,06/01/2022
21WAPDD008 (1),CR approval (Consultant),Baseline,17/10/2022
21WAPDD008 (1),CR approval (Consultant),Capex,17/10/2022
21WAPDD008 (1),CR approval (Consultant),Actual,17/10/2022
21WAPDD008 (1),Letter of Award (Consultant),Baseline,01/11/2022
21WAPDD008 (1),Letter of Award (Consultant),Capex,07/04/2023
21WAPDD008 (1),Letter of Award (Consultant),Actual,07/04/2023
21WAPDD008 (1),Detail Design Approval,Baseline,01/10/2023
21WAPDD008 (1),Detail Design Approval,Capex,06/07/2024
21WAPDD008 (1),CR approval (Contractor),Baseline,01/10/2023
21WAPDD008 (1),CR approval (Contractor),Capex,01/08/2024
21WAPDD008 (1),Completion of Technical evaluation (Contractor),Baseline,01/01/2024
21WAPDD008 (1),Completion of Technical evaluation (Contractor),Capex,01/11/2024
21WAPDD008 (1),Letter of Award (Contractor),Baseline,01/08/2024
21WAPDD008 (1),Letter of Award (Contractor),Capex,01/04/2025
21WAPDD008 (1),Site Handing Over,Baseline,01/10/2024
21WAPDD008 (1),Site Handing Over,Capex,01/05/2025
21WAPDD008 (1),T&C / Energisation,Baseline,01/08/2027
21WAPDD008 (1),T&C / Energisation,Capex,01/01/2028
21WAPDD008 (1),Project Completion,Baseline,01/10/2028
21WAPDD008 (1),Project Completion,Capex,01/05/2029
23EASSSNI01,Business Case Approval,Baseline,31/03/2023
23EASSSNI01,Business Case Approval,Capex,04/05/2023
23EASSSNI01,Business Case Approval,Actual,04/05/2023
23EASSSNI01,CR approval (Consultant),Baseline,30/04/2023
23EASSSNI01,CR approval (Consultant),Capex,29/05/2023
23EASSSNI01,CR approval (Consultant),Actual,29/05/2023
23EASSSNI01,Letter of Award (Consultant),Baseline,30/09/2023
23EASSSNI01,Letter of Award (Consultant),Capex,04/11/2023
23EASSSNI01,Detail Design Approval,Baseline,30/06/2024
23EASSSNI01,Detail Design Approval,Capex,04/08/2024
23EASSSNI01,CR approval (Contractor),Baseline,30/08/2024
23EASSSNI01,CR approval (Contractor),Capex,04/10/2024
23EASSSNI01,Completion of Technical evaluation (Contractor),Baseline,30/10/2024
23EASSSNI01,Completion of Technical evaluation (Contractor),Capex,04/12/2024
23EASSSNI01,Letter of Award (Contractor),Baseline,30/12/2024
23EASSSNI01,Letter of Award (Contractor),Capex,04/02/2025
23EASSSNI01,Site Handing Over,Baseline,14/01/2025
23EASSSNI01,Site Handing Over,Capex,04/03/2025
23EASSSNI01,T&C / Energisation,Baseline,30/06/2026
23EASSSNI01,T&C / Energisation,Capex,04/09/2026
23EASSSNI01,Project Completion,Baseline,30/06/2027
23EASSSNI01,Project Completion,Capex,04/09/2027
23EASIDDI08,Business Need,Baseline,21/07/2022
23EASIDDI08,Business Need,Capex,21/07/2022
23EASIDDI08,Business Need,Actual,21/07/2022
23EASIDDI08,Business Case Approval,Baseline,15/01/2023
23EASIDDI08,Business Case Approval,Capex,19/01/2023
23EASIDDI08,Business Case Approval,Actual,19/01/2023
23EASIDDI08,CR approval (Consultant),Baseline,15/02/2023
23EASIDDI08,CR approval (Consultant),Capex,22/02/2023
23EASIDDI08,CR approval (Consultant),Actual,22/02/2023
23EASIDDI08,Letter of Award (Consultant),Baseline,15/07/2023
23EASIDDI08,Letter of Award (Consultant),Capex,10/06/2023
23EASIDDI08,Letter of Award (Consultant),Actual,10/06/2023
23EASIDDI08,Detail Design Approval,Baseline,15/02/2024
23EASIDDI08,Detail Design Approval,Capex,15/01/2024
23EASIDDI08,CR approval (Contractor),Baseline,01/03/2024
23EASIDDI08,CR approval (Contractor),Capex,01/02/2024
23EASIDDI08,Completion of Technical evaluation (Contractor),Baseline,15/05/2024
23EASIDDI08,Completion of Technical evaluation (Contractor),Capex,15/04/2024
23EASIDDI08,Letter of Award (Contractor),Baseline,01/07/2024
23EASIDDI08,Letter of Award (Contractor),Capex,01/06/2024
23EASIDDI08,Site Handing Over,Baseline,15/07/2024
23EASIDDI08,Site Handing Over,Capex,01/07/2024
23EASIDDI08,T&C / Energisation,Baseline,01/03/2026
23EASIDDI08,T&C / Energisation,Capex,01/02/2026
23EASIDDI08,Project Completion,Baseline,01/03/2027
23EASIDDI08,Project Completion,Capex,01/02/2027
23EASIDDI05,Business Need,Baseline,08/09/2022
23EASIDDI05,Business Need,Capex,08/09/2022
23EASIDDI05,Business Need,Actual,08/09/2022
23EASIDDI05,Business Case Approval,Baseline,01/04/2023
23EASIDDI05,Business Case Approval,Capex,09/06/2023
23EASIDDI05,Business Case Approval,Actual,09/06/2023
23EASIDDI05,CR approval (Consultant),Baseline,01/05/2023
23EASIDDI05,CR approval (Consultant),Capex,11/07/2023
23EASIDDI05,CR approval (Consultant),Actual,11/07/2023
23EASIDDI05,Letter of Award (Consultant),Baseline,01/10/2023
23EASIDDI05,Letter of Award (Consultant),Capex,15/11/2023
23EASIDDI05,Detail Design Approval,Baseline,01/10/2024
23EASIDDI05,Detail Design Approval,Capex,15/11/2024
23EASIDDI05,CR approval (Contractor),Baseline,01/11/2024
23EASIDDI05,CR approval (Contractor),Capex,15/12/2024
23EASIDDI05,Completion of Technical evaluation (Contractor),Baseline,01/01/2025
23EASIDDI05,Completion of Technical evaluation (Contractor),Capex,15/02/2025
23EASIDDI05,Letter of Award (Contractor),Baseline,01/03/2025
23EASIDDI05,Letter of Award (Contractor),Capex,15/04/2025
23EASIDDI05,Site Handing Over,Baseline,01/09/2024
23EASIDDI05,Site Handing Over,Capex,15/04/2025
23EASIDDI05,T&C / Energisation,Baseline,01/03/2027
23EASIDDI05,T&C / Energisation,Capex,15/04/2027
23EASIDDI05,Project Completion,Baseline,01/03/2028
23EASIDDI05,Project Completion,Capex,15/04/2028
23EASIDDI02,Business Need,Baseline,15/11/2022
23EASIDDI02,Business Need,Capex,15/12/2022
23EASIDDI02,Business Need,Actual,15/12/2022
23EASIDDI02,Business Case Approval,Baseline,05/12/2022
23EASIDDI02,Business Case Approval,Capex,30/12/2022
23EASIDDI02,Business Case Approval,Actual,30/12/2022
23EASIDDI02,CR approval (Consultant),Baseline,25/01/2023
23EASIDDI02,CR approval (Consultant),Capex,02/02/2023
23EASIDDI02,CR approval (Consultant),Actual,02/02/2023
23EASIDDI02,Letter of Award (Consultant),Baseline,15/06/2023
23EASIDDI02,Letter of Award (Consultant),Capex,10/07/2023
23EASIDDI02,Letter of Award (Consultant),Actual,10/07/2023
23EASIDDI02,Detail Design Approval,Baseline,05/02/2024
23EASIDDI02,Detail Design Approval,Capex,29/02/2024
23EASIDDI02,CR approval (Contractor),Baseline,15/03/2024
23EASIDDI02,CR approval (Contractor),Capex,30/03/2024
23EASIDDI02,Completion of Technical evaluation (Contractor),Baseline,10/07/2024
23EASIDDI02,Completion of Technical evaluation (Contractor),Capex,30/07/2024
23EASIDDI02,Letter of Award (Contractor),Baseline,10/09/2024
23EASIDDI02,Letter of Award (Contractor),Capex,25/09/2024
23EASIDDI02,Site Handing Over,Baseline,10/12/2024
23EASIDDI02,Site Handing Over,Capex,25/12/2024
23EASIDDI02,T&C / Energisation,Baseline,10/12/2026
23EASIDDI02,T&C / Energisation,Capex,25/12/2026
23EASIDDI02,Project Completion,Baseline,10/12/2027
23EASIDDI02,Project Completion,Capex,25/12/2027
14ENMD189,CR approval (Consultant),Baseline,27/10/2022
14ENMD189,CR approval (Consultant),Capex,27/10/2022
14ENMD189,CR approval (Consultant),Actual,27/10/2022
23EASIDDI04,Business Need,Baseline,01/03/2022
23EASIDDI04,Business Need,Capex,15/03/2022
23EASIDDI04,Business Need,Actual,15/03/2022
23EASIDDI04,Business Case Approval,Baseline,01/11/2022
23EASIDDI04,Business Case Approval,Capex,15/12/2022
23EASIDDI04,Business Case Approval,Actual,15/12/2022
23EASIDDI04,CR approval (Consultant),Baseline,01/01/2023
23EASIDDI04,CR approval (Consultant),Capex,15/02/2023
23EASIDDI04,CR approval (Consultant),Actual,15/02/2023
23EASIDDI04,Letter of Award (Consultant),Baseline,01/06/2023
23EASIDDI04,Letter of Award (Consultant),Capex,01/06/2023
23EASIDDI04,Letter of Award (Consultant),Actual,01/06/2023
23EASIDDI04,Detail Design Approval,Baseline,01/10/2023
23EASIDDI04,Detail Design Approval,Capex,01/11/2023
23EASIDDI04,CR approval (Contractor),Baseline,01/01/2024
23EASIDDI04,CR approval (Contractor),Capex,01/03/2024
23EASIDDI04,Completion of Technical evaluation (Contractor),Baseline,01/05/2024
23EASIDDI04,Completion of Technical evaluation (Contractor),Capex,01/07/2024
23EASIDDI04,Letter of Award (Contractor),Baseline,01/07/2024
23EASIDDI04,Letter of Award (Contractor),Capex,01/09/2024
23EASIDDI04,Site Handing Over,Baseline,01/07/2024
23EASIDDI04,Site Handing Over,Capex,01/09/2024
23EASIDDI04,T&C / Energisation,Baseline,01/01/2026
23EASIDDI04,T&C / Energisation,Capex,01/03/2026
23EASIDDI04,Project Completion,Baseline,31/12/2026
23EASIDDI04,Project Completion,Capex,28/02/2027
15WAMW103,Business Need,Baseline,02/03/2015
15WAMW103,Business Need,Capex,02/03/2015
15WAMW103,Business Need,Actual,02/03/2015
15WAMW103,Business Case Approval,Baseline,09/05/2019
15WAMW103,Business Case Approval,Capex,09/05/2019
15WAMW103,Business Case Approval,Actual,09/05/2019
15WAMW103,CR approval (Consultant),Baseline,06/10/2015
15WAMW103,CR approval (Consultant),Capex,06/10/2015
15WAMW103,CR approval (Consultant),Actual,06/10/2015
15WAMW103,Letter of Award (Consultant),Baseline,01/08/2016
15WAMW103,Letter of Award (Consultant),Capex,01/08/2016
15WAMW103,Letter of Award (Consultant),Actual,01/08/2016
15WAMW103,Detail Design Approval,Baseline,18/07/2017
15WAMW103,Detail Design Approval,Capex,04/10/2018
15WAMW103,Detail Design Approval,Actual,04/10/2018
15WAMW103,CR approval (Contractor),Baseline,15/08/2022
15WAMW103,CR approval (Contractor),Capex,01/02/2025
15WAMW103,Completion of Technical evaluation (Contractor),Baseline,27/09/2022
15WAMW103,Completion of Technical evaluation (Contractor),Capex,02/05/2025
15WAMW103,Letter of Award (Contractor),Baseline,27/10/2022
15WAMW103,Letter of Award (Contractor),Capex,30/08/2025
15WAMW103,Site Handing Over,Baseline,26/11/2022
15WAMW103,Site Handing Over,Capex,29/10/2025
15WAMW103,T&C / Energisation,Baseline,19/05/2024
15WAMW103,T&C / Energisation,Capex,19/10/2027
15WAMW103,Project Completion,Baseline,14/05/2025
15WAMW103,Project Completion,Capex,13/10/2028
23EEAPSNI01,Business Case Approval,Baseline,01/04/2023
23EEAPSNI01,Business Case Approval,Capex,04/05/2023
23EEAPSNI01,Business Case Approval,Actual,04/05/2023
23EEAPSNI01,CR approval (Consultant),Baseline,01/05/2023
23EEAPSNI01,CR approval (Consultant),Capex,25/05/2023
23EEAPSNI01,CR approval (Consultant),Actual,25/05/2023
23EEAPSNI01,Letter of Award (Consultant),Baseline,01/10/2023
23EEAPSNI01,Letter of Award (Consultant),Capex,09/10/2023
23EEAPSNI01,Letter of Award (Consultant),Actual,09/10/2023
23EEAPSNI01,Detail Design Approval,Baseline,01/03/2024
23EEAPSNI01,Detail Design Approval,Capex,09/03/2024
23EEAPSNI01,CR approval (Contractor),Baseline,01/04/2024
23EEAPSNI01,CR approval (Contractor),Capex,09/04/2024
23EEAPSNI01,Completion of Technical evaluation (Contractor),Baseline,01/06/2024
23EEAPSNI01,Completion of Technical evaluation (Contractor),Capex,09/06/2024
23EEAPSNI01,Letter of Award (Contractor),Baseline,01/10/2024
23EEAPSNI01,Letter of Award (Contractor),Capex,09/10/2024
23EEAPSNI01,Site Handing Over,Baseline,16/10/2024
23EEAPSNI01,Site Handing Over,Capex,24/10/2024
23EEAPSNI01,T&C / Energisation,Baseline,01/10/2025
23EEAPSNI01,T&C / Energisation,Capex,09/10/2025
23EEAPSNI01,Project Completion,Baseline,01/10/2026
23EEAPSNI01,Project Completion,Capex,09/10/2026
14WOMD111,Business Need,Baseline,22/03/2015
14WOMD111,Business Need,Capex,22/03/2015
14WOMD111,Business Need,Actual,22/03/2015
14WOMD111,Business Case Approval,Baseline,22/04/2015
14WOMD111,Business Case Approval,Capex,16/01/2013
14WOMD111,Business Case Approval,Actual,16/01/2013
14WOMD111,CR approval (Consultant),Baseline,22/04/2015
14WOMD111,CR approval (Consultant),Capex,26/06/2012
14WOMD111,CR approval (Consultant),Actual,26/06/2012
14WOMD111,Letter of Award (Consultant),Baseline,23/04/2015
14WOMD111,Letter of Award (Consultant),Capex,23/04/2015
14WOMD111,Letter of Award (Consultant),Actual,23/04/2015
14WOMD111,Detail Design Approval,Baseline,30/04/2016
14WOMD111,Detail Design Approval,Capex,11/08/2016
14WOMD111,Detail Design Approval,Actual,11/08/2016
14WOMD111,CR approval (Contractor),Baseline,30/05/2016
14WOMD111,CR approval (Contractor),Capex,30/05/2016
14WOMD111,Completion of Technical evaluation (Contractor),Baseline,30/07/2016
14WOMD111,Completion of Technical evaluation (Contractor),Capex,30/07/2016
14WOMD111,Letter of Award (Contractor),Baseline,30/08/2016
14WOMD111,Letter of Award (Contractor),Capex,30/08/2016
14WOMD111,Site Handing Over,Baseline,22/10/2016
14WOMD111,Site Handing Over,Capex,22/10/2016
14WOMD111,T&C / Energisation,Baseline,22/10/2017
14WOMD111,T&C / Energisation,Capex,22/10/2017
14WOMD111,Project Completion,Baseline,22/10/2018
14WOMD111,Project Completion,Capex,22/10/2018
21WAPDD008 (2),Business Need,Baseline,06/11/2021
21WAPDD008 (2),Business Need,Capex,06/11/2021
21WAPDD008 (2),Business Need,Actual,06/11/2021
21WAPDD008 (2),Business Case Approval,Baseline,06/01/2022
21WAPDD008 (2),Business Case Approval,Capex,06/01/2022
21WAPDD008 (2),Business Case Approval,Actual,06/01/2022
21WAPDD008 (2),CR approval (Consultant),Baseline,17/10/2022
21WAPDD008 (2),CR approval (Consultant),Capex,17/10/2022
21WAPDD008 (2),CR approval (Consultant),Actual,17/10/2022
21WAPDD008 (2),Letter of Award (Consultant),Baseline,01/11/2022
21WAPDD008 (2),Letter of Award (Consultant),Capex,07/04/2023
21WAPDD008 (2),Letter of Award (Consultant),Actual,07/04/2023
21WAPDD008 (2),Detail Design Approval,Baseline,01/02/2023
21WAPDD008 (2),Detail Design Approval,Capex,07/10/2023
21WAPDD008 (2),CR approval (Contractor),Baseline,01/02/2023
21WAPDD008 (2),CR approval (Contractor),Capex,01/11/2023
21WAPDD008 (2),Completion of Technical evaluation (Contractor),Baseline,01/04/2023
21WAPDD008 (2),Completion of Technical evaluation (Contractor),Capex,01/01/2024
21WAPDD008 (2),Letter of Award (Contractor),Baseline,01/07/2023
21WAPDD008 (2),Letter of Award (Contractor),Capex,01/04/2024
21WAPDD008 (2),Site Handing Over,Baseline,01/08/2023
21WAPDD008 (2),Site Handing Over,Capex,01/05/2024
21WAPDD008 (2),T&C / Energisation,Baseline,01/05/2024
21WAPDD008 (2),T&C / Energisation,Capex,01/04/2024
21WAPDD008 (2),Project Completion,Baseline,01/08/2025
21WAPDD008 (2),Project Completion,Capex,01/05/2025
20EEPDD13/21EEPDD08,Business Need,Baseline,06/04/2020
20EEPDD13/21EEPDD08,Business Need,Capex,06/04/2020
20EEPDD13/21EEPDD08,Business Need,Actual,06/04/2020
20EEPDD13/21EEPDD08,Business Case Approval,Baseline,27/09/2021
20EEPDD13/21EEPDD08,Business Case Approval,Capex,13/10/2021
20EEPDD13/21EEPDD08,Business Case Approval,Actual,13/10/2021
20EEPDD13/21EEPDD08,CR approval (Consultant),Baseline,01/12/2021
20EEPDD13/21EEPDD08,CR approval (Consultant),Capex,01/02/2022
20EEPDD13/21EEPDD08,CR approval (Consultant),Actual,01/02/2022
20EEPDD13/21EEPDD08,Letter of Award (Consultant),Baseline,01/01/2022
20EEPDD13/21EEPDD08,Letter of Award (Consultant),Capex,20/04/2022
20EEPDD13/21EEPDD08,Letter of Award (Consultant),Actual,20/04/2022
20EEPDD13/21EEPDD08,Detail Design Approval,Baseline,01/07/2022
20EEPDD13/21EEPDD08,Detail Design Approval,Capex,01/01/2023
20EEPDD13/21EEPDD08,Detail Design Approval,Actual,01/01/2023
20EEPDD13/21EEPDD08,CR approval (Contractor),Baseline,01/09/2022
20EEPDD13/21EEPDD08,CR approval (Contractor),Capex,12/04/2023
20EEPDD13/21EEPDD08,CR approval (Contractor),Actual,12/04/2023
20EEPDD13/21EEPDD08,Completion of Technical evaluation (Contractor),Baseline,01/11/2022
20EEPDD13/21EEPDD08,Completion of Technical evaluation (Contractor),Capex,03/08/2023
20EEPDD13/21EEPDD08,Completion of Technical evaluation (Contractor),Actual,03/08/2023
20EEPDD13/21EEPDD08,Letter of Award (Contractor),Baseline,15/12/2022
20EEPDD13/21EEPDD08,Letter of Award (Contractor),Capex,15/11/2023
20EEPDD13/21EEPDD08,Site Handing Over,Baseline,01/01/2023
20EEPDD13/21EEPDD08,Site Handing Over,Capex,30/11/2023
20EEPDD13/21EEPDD08,T&C / Energisation,Baseline,01/01/2025
20EEPDD13/21EEPDD08,T&C / Energisation,Capex,30/11/2025
20EEPDD13/21EEPDD08,Project Completion,Baseline,01/01/2027
20EEPDD13/21EEPDD08,Project Completion,Capex,30/11/2027
23WASIDN02,Business Need,Baseline,01/01/2023
23WASIDN02,Business Need,Capex,01/01/2023
23WASIDN02,Business Case Approval,Baseline,01/03/2023
23WASIDN02,Business Case Approval,Capex,01/03/2023
23WASIDN02,CR approval (Consultant),Baseline,01/04/2023
23WASIDN02,CR approval (Consultant),Capex,01/04/2023
23WASIDN02,Letter of Award (Consultant),Baseline,01/04/2023
23WASIDN02,Letter of Award (Consultant),Capex,01/04/2023
23WASIDN02,Detail Design Approval,Baseline,30/09/2024
23WASIDN02,Detail Design Approval,Capex,30/09/2024
22WASIDDE01,Business Need,Baseline,01/11/2021
22WASIDDE01,Business Need,Capex,01/11/2021
22WASIDDE01,Business Need,Actual,01/11/2021
22WASIDDE01,Business Case Approval,Baseline,24/02/2022
22WASIDDE01,Business Case Approval,Capex,24/02/2022
22WASIDDE01,Business Case Approval,Actual,24/02/2022
22WASIDDE01,CR approval (Consultant),Baseline,27/07/2022
22WASIDDE01,CR approval (Consultant),Capex,27/07/2022
22WASIDDE01,CR approval (Consultant),Actual,27/07/2022
22WASIDDE01,Letter of Award (Consultant),Baseline,29/11/2022
22WASIDDE01,Letter of Award (Consultant),Capex,10/11/2022
22WASIDDE01,Letter of Award (Consultant),Actual,10/11/2022
22WASIDDE01,CR approval (Contractor),Baseline,02/06/2023
22WASIDDE01,CR approval (Contractor),Capex,02/06/2023
22WASIDDE01,CR approval (Contractor),Actual,02/06/2023
22WASIDDE01,Completion of Technical evaluation (Contractor),Baseline,07/08/2023
22WASIDDE01,Completion of Technical evaluation (Contractor),Capex,07/08/2023
22WASIDDE01,Completion of Technical evaluation (Contractor),Actual,07/08/2023
23EAPDD01,Business Case Approval,Baseline,26/05/2021
23EAPDD01,Business Case Approval,Capex,26/05/2021
23EAPDD01,Business Case Approval,Actual,26/05/2021
23EAPDD01,Detail Design Approval,Baseline,26/12/2021
23EAPDD01,Detail Design Approval,Capex,05/12/2022
23EAPDD01,Detail Design Approval,Actual,05/12/2022
23EAPDD01,CR approval (Contractor),Baseline,26/02/2022
23EAPDD01,CR approval (Contractor),Capex,08/11/2022
23EAPDD01,CR approval (Contractor),Actual,08/11/2022
23EAPDD01,Completion of Technical evaluation (Contractor),Baseline,26/04/2022
23EAPDD01,Completion of Technical evaluation (Contractor),Capex,31/12/2023
23EAPDD01,Completion of Technical evaluation (Contractor),Actual,26/04/2022
23EAPDD01,Letter of Award (Contractor),Baseline,26/06/2022
23EAPDD01,Letter of Award (Contractor),Capex,10/02/2024
23EAPDD01,Letter of Award (Contractor),Actual,26/06/2022
23EAPDD01,Site Handing Over,Baseline,26/07/2022
23EAPDD01,Site Handing Over,Capex,11/03/2024
23EAPDD01,Site Handing Over,Actual,20/01/2023
23EAPDD01,T&C / Energisation,Baseline,26/06/2024
23EAPDD01,T&C / Energisation,Capex,11/03/2026
23EAPDD01,Project Completion,Baseline,26/06/2026
23EAPDD01,Project Completion,Capex,11/03/2028
17WPD009 (1),Business Need,Baseline,16/06/2015
17WPD009 (1),Business Need,Capex,16/06/2015
17WPD009 (1),Business Need,Actual,16/06/2015
17WPD009 (1),Business Case Approval,Baseline,18/09/2017
17WPD009 (1),Business Case Approval,Capex,18/09/2017
17WPD009 (1),Business Case Approval,Actual,18/09/2017
17WPD009 (1),CR approval (Consultant),Baseline,13/12/2017
17WPD009 (1),CR approval (Consultant),Capex,13/12/2017
17WPD009 (1),CR approval (Consultant),Actual,13/12/2017
17WPD009 (1),Letter of Award (Consultant),Baseline,26/08/2018
17WPD009 (1),Letter of Award (Consultant),Capex,26/08/2018
17WPD009 (1),Letter of Award (Consultant),Actual,26/08/2018
17WPD009 (1),Detail Design Approval,Baseline,12/10/2022
17WPD009 (1),Detail Design Approval,Capex,12/10/2022
17WPD009 (1),Detail Design Approval,Actual,12/10/2022
17WPD009 (1),CR approval (Contractor),Baseline,04/11/2022
17WPD009 (1),CR approval (Contractor),Capex,04/11/2022
17WPD009 (1),CR approval (Contractor),Actual,04/11/2022
17WPD009 (1),Completion of Technical evaluation (Contractor),Baseline,18/05/2023
17WPD009 (1),Completion of Technical evaluation (Contractor),Capex,18/05/2023
17WPD009 (1),Completion of Technical evaluation (Contractor),Actual,18/05/2023
17WPD009 (1),Letter of Award (Contractor),Baseline,01/08/2020
17WPD009 (1),Letter of Award (Contractor),Capex,26/06/2023
17WPD009 (1),Letter of Award (Contractor),Actual,26/06/2023
17WPD009 (1),Site Handing Over,Baseline,01/08/2020
17WPD009 (1),Site Handing Over,Capex,14/08/2023
17WPD009 (1),Site Handing Over,Actual,14/08/2023
17WPD009 (1),T&C / Energisation,Baseline,01/08/2022
17WPD009 (1),T&C / Energisation,Capex,01/10/2024
17WPD009 (1),Project Completion,Baseline,01/08/2023
17WPD009 (1),Project Completion,Capex,01/10/2025
17WPD010,Business Need,Baseline,18/09/2017
17WPD010,Business Need,Capex,18/09/2017
17WPD010,Business Need,Actual,18/09/2017
17WPD010,Business Case Approval,Baseline,18/09/2017
17WPD010,Business Case Approval,Capex,18/09/2017
17WPD010,Business Case Approval,Actual,18/09/2017
17WPD010,CR approval (Consultant),Baseline,28/03/2018
17WPD010,CR approval (Consultant),Capex,28/03/2018
17WPD010,CR approval (Consultant),Actual,28/03/2018
17WPD010,Letter of Award (Consultant),Baseline,30/07/2018
17WPD010,Letter of Award (Consultant),Capex,30/07/2018
17WPD010,Letter of Award (Consultant),Actual,30/07/2018
17WPD010,Detail Design Approval,Baseline,29/04/2020
17WPD010,Detail Design Approval,Capex,01/09/2022
17WPD010,Detail Design Approval,Actual,01/09/2022
17WPD010,CR approval (Contractor),Baseline,04/07/2022
17WPD010,CR approval (Contractor),Capex,04/07/2022
17WPD010,CR approval (Contractor),Actual,04/07/2022
17WPD010,Completion of Technical evaluation (Contractor),Baseline,18/07/2022
17WPD010,Completion of Technical evaluation (Contractor),Capex,08/08/2022
17WPD010,Completion of Technical evaluation (Contractor),Actual,08/08/2022
17WPD010,Letter of Award (Contractor),Baseline,01/02/2023
17WPD010,Letter of Award (Contractor),Capex,01/01/2023
17WPD010,Letter of Award (Contractor),Actual,24/03/2023
17WPD010,Site Handing Over,Baseline,01/05/2023
17WPD010,Site Handing Over,Capex,01/05/2023
17WPD010,Site Handing Over,Actual,14/04/2023
17WPD010,T&C / Energisation,Baseline,01/12/2024
17WPD010,T&C / Energisation,Capex,01/10/2024
17WPD010,Project Completion,Baseline,01/11/2026
17WPD010,Project Completion,Capex,01/10/2025
20EAPDD06,Business Need,Baseline,03/11/2019
20EAPDD06,Business Need,Capex,03/11/2019
20EAPDD06,Business Need,Actual,03/11/2019
20EAPDD06,Business Case Approval,Baseline,17/01/2021
20EAPDD06,Business Case Approval,Capex,17/01/2021
20EAPDD06,Business Case Approval,Actual,17/01/2021
20EAPDD06,Detail Design Approval,Baseline,16/05/2021
20EAPDD06,Detail Design Approval,Capex,27/05/2022
20EAPDD06,Detail Design Approval,Actual,27/05/2022
20EAPDD06,CR approval (Contractor),Baseline,16/09/2021
20EAPDD06,CR approval (Contractor),Capex,01/09/2022
20EAPDD06,CR approval (Contractor),Actual,01/09/2022
20EAPDD06,Completion of Technical evaluation (Contractor),Baseline,15/02/2022
20EAPDD06,Completion of Technical evaluation (Contractor),Capex,01/01/2023
20EAPDD06,Completion of Technical evaluation (Contractor),Actual,01/01/2023
20EAPDD06,Letter of Award (Contractor),Baseline,15/03/2022
20EAPDD06,Letter of Award (Contractor),Capex,16/01/2023
20EAPDD06,Letter of Award (Contractor),Actual,16/01/2023
20EAPDD06,Site Handing Over,Baseline,14/04/2022
20EAPDD06,Site Handing Over,Capex,12/02/2023
20EAPDD06,Site Handing Over,Actual,12/02/2023
20EAPDD06,T&C / Energisation,Baseline,15/03/2024
20EAPDD06,T&C / Energisation,Capex,12/02/2025
20EAPDD06,Project Completion,Baseline,15/03/2025
20EAPDD06,Project Completion,Capex,12/02/2026
22EASIDDI02 (1),Business Case Approval,Baseline,15/07/2021
22EASIDDI02 (1),Business Case Approval,Capex,17/10/2021
22EASIDDI02 (1),Business Case Approval,Actual,17/10/2021
22EASIDDI02 (1),CR approval (Consultant),Baseline,01/10/2021
22EASIDDI02 (1),CR approval (Consultant),Capex,16/12/2021
22EASIDDI02 (1),CR approval (Consultant),Actual,16/12/2021
22EASIDDI02 (1),Letter of Award (Consultant),Baseline,31/12/2021
22EASIDDI02 (1),Letter of Award (Consultant),Capex,15/04/2022
22EASIDDI02 (1),Letter of Award (Consultant),Actual,15/04/2022
22EASIDDI02 (1),Detail Design Approval,Baseline,30/04/2022
22EASIDDI02 (1),Detail Design Approval,Capex,22/09/2022
22EASIDDI02 (1),Detail Design Approval,Actual,22/09/2022
22EASIDDI02 (1),CR approval (Contractor),Baseline,30/06/2022
22EASIDDI02 (1),CR approval (Contractor),Capex,04/10/2022
22EASIDDI02 (1),CR approval (Contractor),Actual,04/10/2022
22EASIDDI02 (1),Completion of Technical evaluation (Contractor),Baseline,30/06/2022
22EASIDDI02 (1),Completion of Technical evaluation (Contractor),Capex,01/04/2023
22EASIDDI02 (1),Completion of Technical evaluation (Contractor),Actual,01/04/2023
22EASIDDI02 (1),Letter of Award (Contractor),Baseline,30/06/2022
22EASIDDI02 (1),Letter of Award (Contractor),Capex,19/07/2023
22EASIDDI02 (1),Letter of Award (Contractor),Actual,19/07/2023
22EASIDDI02 (1),Site Handing Over,Baseline,15/07/2022
